Loïc Remy	2014/2015	6.53
Loïc Remy	2014/2015	6.79
Loïc Remy	2014/2015	6.48
Loïc Remy	2013/2014	7.15
Loïc Remy	2014	6.32
Loïc Remy	2012/2013	7.07
Loïc Remy	2012/2013	6.65
Loïc Remy	2012/2013	6.20
Loïc Remy	2011/2012	6.60
Loïc Remy	2011/2012	7.01
Loïc Remy	2010/2011	7.22
Loïc Remy	2010/2011	7.14
Loïc Remy	2010/2011	7.05
Didier Drogba	2014/2015	7.03
Didier Drogba	2014/2015	6.38
Didier Drogba	2013/2014	7.14
Didier Drogba	2014	6.44
Didier Drogba	2012/2013	7.34
Didier Drogba	2011/2012	7.56
Didier Drogba	2011/2012	6.85
Didier Drogba	2010/2011	7.38
Didier Drogba	2010/2011	7.55
Didier Drogba	2009/2010	7.38
John Obi Mikel	2014/2015	7.17
John Obi Mikel	2014/2015	6.35
John Obi Mikel	2013/2014	6.68
John Obi Mikel	2013/2014	6.66
John Obi Mikel	2014	6.97
John Obi Mikel	2013	7.67
John Obi Mikel	2012/2013	6.73
John Obi Mikel	2012/2013	6.85
John Obi Mikel	2012/2013	6.75
John Obi Mikel	2011/2012	6.94
